Fiscal_Year,Ministry,Sector,Budget_Allocation,GDP_Growth_Rate,Inflation_CPI,Fiscal_Deficit_GDP,Current_Account_GDP,Exchange_Rate_USD,Crude_Oil_Price,Economic_Crisis,Election_Year,High_Inflation,Budget_MA_3,Budget_MA_5,Budget_YoY_Growth
05-06,Environment and Forests,Infrastructure & Transport,1388.19,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1388.19,1388.19,
06-07,Environment and Forests,Infrastructure & Transport,1520.14,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1454.165,1454.165,9.505183008089668
07-08,Environment and Forests,Infrastructure & Transport,1539.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1482.4433333333334,1482.4433333333334,1.240675200968333
09-10,Environment and Forests,Infrastructure & Transport,2129.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,1729.3799999999999,1644.0825,38.336582196231326
10-11,Environment and Forests,Infrastructure & Transport,2351.16,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,2006.3866666666665,1785.498,10.434945984030053
11-12,Environment and Forests,Infrastructure & Transport,2491.97,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,2324.043333333333,2006.2539999999997,5.988958641691755
12-13,Environment and Forests,Infrastructure & Transport,2629.41,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,2490.8466666666664,2228.1079999999997,5.515315192397985
13-14,Environment and Forests,Infrastructure & Transport,2630.2,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,2583.8599999999997,2446.348,0.03004476289356628
15-16,Environment and Forests,Infrastructure & Transport,1230.05,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,2163.22,2266.558,-53.23359440346742
16-17,Environment and Forests,Infrastructure & Transport,1393.32,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,1751.1899999999998,2074.99,13.27344416893621
17-18,Environment and Forests,Infrastructure & Transport,2675.42,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1766.263333333333,2111.68,92.01762696293744
18-19,Environment and Forests,Infrastructure & Transport,88.75,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,1385.83,1603.548,-96.68276382773546
19-20,Environment and Forests,Infrastructure & Transport,3175.72,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,1979.9633333333331,1712.6519999999996,3478.276056338028
20-21,Environment and Forests,Infrastructure & Transport,3100.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,2121.49,2086.642,-2.3843411887697896
21-22,Environment and Forests,Infrastructure & Transport,2869.93,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,3048.5499999999997,2381.964,-7.421612903225816
22-23,Environment and Forests,Infrastructure & Transport,3030.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,2999.976666666667,2452.88,5.577487952667837
23-24,Environment and Forests,Infrastructure & Transport,3079.4,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,2993.11,3051.0099999999998,1.6303630363036392
05-06,External Affairs,Governance & Administration,3928.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,3928.0,3928.0,
06-07,External Affairs,Governance & Administration,3695.05,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,3811.525,3811.525,-5.930498981670052
07-08,External Affairs,Governance & Administration,4433.6,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,4018.8833333333337,4018.8833333333337,19.98755091270754
09-10,External Affairs,Governance & Administration,6293.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,4807.216666666667,4587.4125,41.93883074702271
10-11,External Affairs,Governance & Administration,6375.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,5700.533333333334,4944.93,1.3030351183854982
11-12,External Affairs,Governance & Administration,7106.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,6591.333333333333,5580.530000000001,11.466666666666669
12-13,External Affairs,Governance & Administration,9661.97,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,7714.323333333333,6773.914,35.96918097382493
13-14,External Affairs,Governance & Administration,11719.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,9495.656666666666,8230.994,21.289964675940844
15-16,External Affairs,Governance & Administration,14966.83,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,12115.933333333332,9965.759999999998,27.714224763205042
16-17,External Affairs,Governance & Administration,14662.66,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,13782.83,11623.292,-2.03229407964145
17-18,External Affairs,Governance & Administration,14798.55,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,14809.346666666666,13161.802,0.9267759055996638
18-19,External Affairs,Governance & Administration,15011.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,14824.07,14231.607999999998,1.4356136243077966
19-20,External Affairs,Governance & Administration,16061.78,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,15290.443333333335,15100.163999999999,7.000066617813605
20-21,External Affairs,Governance & Administration,17346.71,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,16139.83,15576.14,7.999922798095849
21-22,External Affairs,Governance & Administration,18154.73,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,17187.74,16274.553999999998,4.658059078637966
22-23,External Affairs,Governance & Administration,17250.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,17583.813333333335,16764.844,-4.983439577454474
23-24,External Affairs,Governance & Administration,18050.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,17818.243333333332,17372.644,4.637681159420293
05-06,Fertilisers,Agriculture & Rural,16398.82,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,16398.82,16398.82,
06-07,Fertilisers,Agriculture & Rural,17385.81,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,16892.315000000002,16892.315000000002,6.018664757586234
07-08,Fertilisers,Agriculture & Rural,22532.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,18772.210000000003,18772.210000000003,29.599943862264677
09-10,Fertilisers,Agriculture & Rural,50200.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,30039.27,26629.1575,122.79424818036571
10-11,Fertilisers,Agriculture & Rural,50215.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,40982.333333333336,31346.326,0.029880478087651596
11-12,Fertilisers,Agriculture & Rural,50245.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,50220.0,38115.562,0.05974310465000077
12-13,Fertilisers,Agriculture & Rural,61256.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,53905.333333333336,46889.6,21.91461836998707
13-14,Fertilisers,Agriculture & Rural,66269.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,59256.666666666664,55637.0,8.18368812850987
15-16,Fertilisers,Agriculture & Rural,73047.8,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,66857.59999999999,60206.56,10.22921728108166
16-17,Fertilisers,Agriculture & Rural,70039.37,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,69785.39,64171.433999999994,-4.118440254189737
17-18,Fertilisers,Agriculture & Rural,70032.71,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,71039.96,68128.976,-0.009508937616076185
18-19,Fertilisers,Agriculture & Rural,70125.39,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,70065.82333333335,69902.854,0.13233816026825274
19-20,Fertilisers,Agriculture & Rural,75035.0,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,71731.03333333334,71656.054,7.001187444376433
20-21,Fertilisers,Agriculture & Rural,71345.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,72168.46333333333,71315.494,-4.917705070966882
21-22,Fertilisers,Agriculture & Rural,80011.39,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,75463.79666666666,73309.898,12.14715817506482
22-23,Fertilisers,Agriculture & Rural,105262.23,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,85539.54,80355.802,31.55905677929105
23-24,Fertilisers,Agriculture & Rural,175148.48,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,120140.70000000001,101360.42,66.39252275008806
05-06,Food Processing Industries,Agriculture & Rural,186.55,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,186.55,186.55,
06-07,Food Processing Industries,Agriculture & Rural,173.7,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,180.125,180.125,-6.888233717502024
07-08,Food Processing Industries,Agriculture & Rural,258.3,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,206.1833333333333,206.1833333333333,48.70466321243525
09-10,Food Processing Industries,Agriculture & Rural,350.5,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,260.8333333333333,242.2625,35.69492837785519
10-11,Food Processing Industries,Agriculture & Rural,409.72,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,339.50666666666666,275.754,16.895863052781745
11-12,Food Processing Industries,Agriculture & Rural,610.09,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,456.77,360.46200000000005,48.90412964951673
12-13,Food Processing Industries,Agriculture & Rural,670.54,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,563.4499999999999,459.83000000000004,9.908374174302148
13-14,Food Processing Industries,Agriculture & Rural,719.11,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,666.58,551.992,7.2434157544665645
15-16,Food Processing Industries,Agriculture & Rural,498.51,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,629.3866666666667,581.594,-30.676808833140967
16-17,Food Processing Industries,Agriculture & Rural,636.02,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,617.88,626.854,27.584200918737835
17-18,Food Processing Industries,Agriculture & Rural,800.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,644.8433333333334,664.836,25.78220810666332
18-19,Food Processing Industries,Agriculture & Rural,1400.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,945.34,810.7280000000001,75.0
19-20,Food Processing Industries,Agriculture & Rural,1196.6,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,1132.2,906.226,-14.528571428571436
20-21,Food Processing Industries,Agriculture & Rural,1232.94,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,1276.5133333333333,1053.1119999999999,3.036937990974442
21-22,Food Processing Industries,Agriculture & Rural,1308.66,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,1246.0666666666666,1187.64,6.141418073872207
22-23,Food Processing Industries,Agriculture & Rural,2941.99,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,1827.8633333333335,1616.038,124.80934696559838
23-24,Food Processing Industries,Agriculture & Rural,3287.65,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,2512.7666666666664,1993.568,11.749190173997892
05-06,Food and Public Distribution,Food & Distribution,26590.1,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,26590.1,26590.1,
06-07,Food and Public Distribution,Food & Distribution,24595.8,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,25592.949999999997,25592.949999999997,-7.5001598339231474
07-08,Food and Public Distribution,Food & Distribution,26085.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,25756.966666666664,25756.966666666664,6.054692264532968
09-10,Food and Public Distribution,Food & Distribution,53262.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,34647.6,32633.225,104.18631397354802
10-11,Food and Public Distribution,Food & Distribution,56133.05,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,45160.01666666666,37333.19,5.390428448049267
11-12,Food and Public Distribution,Food & Distribution,61606.01,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,57000.35333333333,44336.371999999996,9.749977954164258
12-13,Food and Public Distribution,Food & Distribution,76267.16,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,64668.74,54670.64399999999,23.798246307462545
13-14,Food and Public Distribution,Food & Distribution,91034.55,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,76302.57333333332,67660.554,19.362711290154234
15-16,Food and Public Distribution,Food & Distribution,125212.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,97504.57,82050.554,37.5433832539404
16-17,Food and Public Distribution,Food & Distribution,140150.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,118798.85000000002,98853.944,11.930166437721624
17-18,Food and Public Distribution,Food & Distribution,150504.69,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,138622.23,116633.68000000001,7.388291116660728
18-19,Food and Public Distribution,Food & Distribution,174159.1,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,154937.93000000002,136212.068,15.71672616979578
19-20,Food and Public Distribution,Food & Distribution,192240.39,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,172301.39333333334,156453.236,10.382052961918165
20-21,Food and Public Distribution,Food & Distribution,122235.43,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,162878.30666666667,155857.92200000002,-36.41532354361121
21-22,Food and Public Distribution,Food & Distribution,253974.3,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,189483.37333333338,178622.782,107.77470165564927
22-23,Food and Public Distribution,Food & Distribution,215959.58,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,197389.77000000002,191713.76,-14.967939669486242
23-24,Food and Public Distribution,Food & Distribution,205513.94,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,225149.27333333332,197984.728,-4.836849562311607
05-06,Health,Social Services,3827.64,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,3827.64,3827.64,
06-07,Health,Social Services,12545.88,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,8186.759999999999,8186.759999999999,227.7706367369972
07-08,Health,Social Services,15291.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,10554.839999999998,10554.839999999998,21.88064926493798
09-10,Health,Social Services,21113.33,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,16316.736666666666,13194.4625,38.076842587142764
10-11,Health,Social Services,23530.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,19978.11,15261.570000000002,11.446181156643686
11-12,Health,Social Services,26897.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,23846.77666666667,19875.442,14.309392265193367
12-13,Health,Social Services,30702.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,27043.0,23506.665999999997,14.146559095809952
13-14,Health,Social Services,33278.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,30292.333333333332,27104.066,8.390332877336991
15-16,Health,Social Services,11358.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,25112.666666666668,25153.0,-65.86934310956187
16-17,Health,Social Services,16371.08,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,20335.693333333333,23721.216,44.13699594999119
17-18,Health,Social Services,47352.51,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,25027.196666666667,27812.318,189.244875719867
18-19,Health,Social Services,52800.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,38841.19666666666,32231.917999999998,11.504120900877268
19-20,Health,Social Services,61398.12,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,53850.21,37855.941999999995,16.284318181818193
20-21,Health,Social Services,65011.8,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,59736.63999999999,48586.702000000005,5.885652524865592
21-22,Health,Social Services,71268.77,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,65892.89666666667,59566.240000000005,9.624360500709095
22-23,Health,Social Services,83000.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,73093.52333333333,66695.738,16.460547866898768
23-24,Health,Social Services,86175.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,80147.92333333334,73370.738,3.825301204819276
05-06,Heavy Industry,Economic Services,861.32,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,861.32,861.32,
06-07,Heavy Industry,Economic Services,905.84,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,883.58,883.58,5.16881066270376
07-08,Heavy Industry,Economic Services,906.3,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,891.1533333333333,891.1533333333333,0.05078159498366208
09-10,Heavy Industry,Economic Services,812.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,874.7133333333333,871.365,-10.404943175548931
10-11,Heavy Industry,Economic Services,881.71,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,866.6700000000001,873.434,8.584975369458125
11-12,Heavy Industry,Economic Services,855.65,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,849.7866666666667,872.3,-2.955620328679509
12-13,Heavy Industry,Economic Services,1009.67,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,915.6766666666666,893.066,18.000350610646866
13-14,Heavy Industry,Economic Services,1028.97,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,964.7633333333333,917.6,1.9115156437251812
15-16,Heavy Industry,Economic Services,1624.73,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,1221.1233333333332,1080.146,57.89867537440352
16-17,Heavy Industry,Economic Services,1300.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,1317.8999999999999,1163.804,-19.986705483372624
17-18,Heavy Industry,Economic Services,2600.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1841.5766666666666,1512.6740000000002,100.0
18-19,Heavy Industry,Economic Services,1125.73,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,1675.243333333333,1535.886,-56.70269230769232
19-20,Heavy Industry,Economic Services,1162.0,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,1629.243333333333,1562.492,3.221909338829021
20-21,Heavy Industry,Economic Services,1489.98,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,1259.2366666666667,1535.542,28.225473321858875
21-22,Heavy Industry,Economic Services,995.27,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,1215.75,1474.596,-33.20245909341065
22-23,Heavy Industry,Economic Services,3306.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,1930.4166666666667,1615.7959999999998,232.17116963236109
23-24,Heavy Industry,Economic Services,6171.63,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,3490.966666666667,2624.976,86.67967332123412
05-06,Home Affairs,Defense & Security,17015.82,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,17015.82,17015.82,
06-07,Home Affairs,Defense & Security,18018.41,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,17517.114999999998,17517.114999999998,5.8921051115961465
07-08,Home Affairs,Defense & Security,20995.73,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,18676.653333333332,18676.653333333332,16.523766525459237
09-10,Home Affairs,Defense & Security,37299.78,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,25437.97333333333,23332.434999999998,77.65412300501102
10-11,Home Affairs,Defense & Security,35144.97,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,31146.826666666664,25694.942,-5.77700458286885
11-12,Home Affairs,Defense & Security,46789.85,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,39744.86666666667,31649.748,33.133845326941525
12-13,Home Affairs,Defense & Security,52222.1,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,44718.97333333333,38490.486,11.60988975173034
13-14,Home Affairs,Defense & Security,56906.84,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,51972.92999999999,45672.708,8.970799718892962
15-16,Home Affairs,Defense & Security,65651.1,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,58260.01333333333,51342.972,15.365920862940218
16-17,Home Affairs,Defense & Security,73406.37,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,65321.43666666667,58995.252,11.812856144070683
17-18,Home Affairs,Defense & Security,78000.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,72352.49,65237.28200000001,6.25780841635406
18-19,Home Affairs,Defense & Security,4793.36,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,52066.57666666666,55751.53400000001,-93.85466666666666
19-20,Home Affairs,Defense & Security,4895.81,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,29229.72333333333,45349.328,2.1373316421049227
20-21,Home Affairs,Defense & Security,8002.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,5897.056666666666,33819.508,63.4458853591132
21-22,Home Affairs,Defense & Security,7620.4,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,6839.403333333333,20662.314000000002,-4.7688077980504895
22-23,Home Affairs,Defense & Security,7621.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,7747.8,6586.514,0.007873602435570781
23-24,Home Affairs,Defense & Security,5901.31,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,7047.57,6808.103999999999,-22.56514893058653
05-06,Industrial Policy and Promotion,Economic Services,640.27,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,640.27,640.27,
06-07,Industrial Policy and Promotion,Economic Services,600.32,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,620.2950000000001,620.2950000000001,-6.239555187655199
07-08,Industrial Policy and Promotion,Economic Services,613.44,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,618.0100000000001,618.0100000000001,2.1855010660980723
09-10,Industrial Policy and Promotion,Economic Services,1186.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,799.9200000000001,760.0075,93.33594157537817
10-11,Industrial Policy and Promotion,Economic Services,1208.87,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,1002.77,849.78,1.9283305227655978
11-12,Industrial Policy and Promotion,Economic Services,1489.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,1294.6233333333332,1019.5260000000001,23.172880458610123
12-13,Industrial Policy and Promotion,Economic Services,1567.25,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1421.7066666666667,1212.912,5.255204835460048
13-14,Industrial Policy and Promotion,Economic Services,1716.29,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,1590.8466666666666,1433.482,9.509650661987546
15-16,Industrial Policy and Promotion,Economic Services,2616.19,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,1966.5766666666666,1719.52,52.432863909945304
16-17,Industrial Policy and Promotion,Economic Services,3026.55,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,2453.01,2083.056,15.685405112014038
17-18,Industrial Policy and Promotion,Economic Services,3608.87,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,3083.8700000000003,2507.0299999999997,19.24038922205149
18-19,Industrial Policy and Promotion,Economic Services,6140.23,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,4258.55,3421.6259999999993,70.14273165838614
19-20,Industrial Policy and Promotion,Economic Services,5674.51,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,5141.203333333334,4213.2699999999995,-7.584732168013241
20-21,Industrial Policy and Promotion,Economic Services,6605.55,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,6140.096666666667,5011.142,16.407407864291358
21-22,Industrial Policy and Promotion,Economic Services,7782.24,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,6687.433333333333,5962.280000000001,17.813656697776857
22-23,Industrial Policy and Promotion,Economic Services,8348.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,7578.596666666667,6910.106,7.2698863052283125
23-24,Industrial Policy and Promotion,Economic Services,8200.63,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,8110.29,7322.186,-1.7653330138955536
05-06,Information Technology,Communication & Technology,965.3,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,965.3,965.3,
06-07,Information Technology,Communication & Technology,1126.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1045.65,1045.65,16.647674298145667
07-08,Information Technology,Communication & Technology,1536.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1209.1000000000001,1209.1000000000001,36.41207815275311
09-10,Information Technology,Communication & Technology,2582.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,1748.0,1552.325,68.09895833333333
10-11,Information Technology,Communication & Technology,2707.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,2275.0,1783.2599999999998,4.841208365608063
11-12,Information Technology,Communication & Technology,3048.61,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,2779.2033333333334,2199.922,12.619504987070563
12-13,Information Technology,Communication & Technology,3051.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,2935.536666666667,2584.922,0.07839638392579396
13-14,Information Technology,Communication & Technology,3052.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,3050.536666666667,2888.1220000000003,0.032776138970835866
15-16,Information Technology,Communication & Technology,2630.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,2911.0,2897.722,-13.826998689384007
16-17,Information Technology,Communication & Technology,3328.82,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,3003.6066666666666,3022.0860000000002,26.571102661596967
17-18,Information Technology,Communication & Technology,4039.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,3332.6066666666666,3220.1639999999998,21.334286624089003
18-19,Information Technology,Communication & Technology,6000.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,4455.94,3809.964,48.55162168853677
19-20,Information Technology,Communication & Technology,6420.0,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,5486.333333333333,4483.564,7.000000000000006
20-21,Information Technology,Communication & Technology,6899.03,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,6439.676666666666,5337.37,7.46152647975078
21-22,Information Technology,Communication & Technology,9720.66,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,7679.8966666666665,6615.738,40.89893796664168
22-23,Information Technology,Communication & Technology,14300.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,10306.563333333334,8667.938,47.109352657124106
23-24,Information Technology,Communication & Technology,16549.04,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,13523.233333333332,10777.746,15.727552447552462
05-06,Information and Broadcasting,Communication & Technology,1603.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1603.0,1603.0,
06-07,Information and Broadcasting,Communication & Technology,1716.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1659.5,1659.5,7.049282595134132
07-08,Information and Broadcasting,Communication & Technology,1681.84,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1666.9466666666667,1666.9466666666667,-1.990675990675994
09-10,Information and Broadcasting,Communication & Technology,2568.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,1988.6133333333335,1892.21,52.6899110498026
10-11,Information and Broadcasting,Communication & Technology,2604.18,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,2284.6733333333336,2034.604,1.4088785046728836
11-12,Information and Broadcasting,Communication & Technology,2643.64,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,2605.273333333333,2242.732,1.515256241888041
12-13,Information and Broadcasting,Communication & Technology,2737.32,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,2661.713333333333,2446.996,3.54359897716785
13-14,Information and Broadcasting,Communication & Technology,3035.65,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,2805.536666666667,2717.7580000000003,10.898616164715857
