Sector_12,Base_Ministry,Fiscal_Year,Year_End,Budget_Amount,Sector_Total,Ministry_Share_Sector
governance and administration,Company Affairs,23-24,2024,756.19,94545.62,0.007998149464776899
governance and administration,External Affairs,05-06,2006,3928.0,4849.17,0.8100355318539049
governance and administration,External Affairs,06-07,2007,3695.05,5064.3,0.7296269968208835
governance and administration,External Affairs,07-08,2008,4433.6,5823.700000000001,0.7613029517317169
governance and administration,External Affairs,09-10,2010,6293.0,8884.45,0.7083162154100704
governance and administration,External Affairs,10-11,2011,6375.0,8025.030000000001,0.7943895536839114
governance and administration,External Affairs,11-12,2012,7106.0,9554.5,0.7437333193783034
governance and administration,External Affairs,12-13,2013,9661.97,12349.48,0.7823786912485384
governance and administration,External Affairs,13-14,2014,11719.0,14822.970000000001,0.7905972959535099
governance and administration,External Affairs,15-16,2016,14966.83,19136.36,0.7821147804493644
governance and administration,External Affairs,16-17,2017,14662.66,21067.06,0.6959993468476379
governance and administration,External Affairs,17-18,2018,14798.55,20831.13,0.710405532489116
governance and administration,External Affairs,18-19,2019,15011.0,66410.34,0.2260340784281484
governance and administration,External Affairs,19-20,2020,16061.78,68254.9,0.2353205410893577
governance and administration,External Affairs,20-21,2021,17346.71,81494.2,0.21285821567669846
governance and administration,External Affairs,21-22,2022,18154.73,77450.87,0.23440317713668032
governance and administration,External Affairs,22-23,2023,17250.0,87283.70999999999,0.19763137932610794
governance and administration,External Affairs,23-24,2024,18050.0,94545.62,0.19091312744048852
governance and administration,Law and Justice,05-06,2006,495.0,4849.17,0.1020793249153979
governance and administration,Law and Justice,06-07,2007,872.95,5064.3,0.17237327962403493
governance and administration,Law and Justice,07-08,2008,817.0,5823.700000000001,0.14028881982244962
governance and administration,Law and Justice,09-10,2010,1678.0,8884.45,0.1888693166149846
governance and administration,Law and Justice,10-11,2011,687.19,8025.030000000001,0.08563083253271327
governance and administration,Law and Justice,11-12,2012,1432.3,9554.5,0.1499084201161756
governance and administration,Law and Justice,12-13,2013,1535.62,12349.48,0.12434693606532421
governance and administration,Law and Justice,13-14,2014,1815.47,14822.970000000001,0.12247680458099827
governance and administration,Law and Justice,15-16,2016,2960.65,19136.36,0.15471333106191565
governance and administration,Law and Justice,16-17,2017,4564.99,21067.06,0.21668851752451454
governance and administration,Law and Justice,17-18,2018,4143.66,20831.13,0.1989167174320356
governance and administration,Law and Justice,18-19,2019,4386.33,66410.34,0.06604890142107389
governance and administration,Law and Justice,19-20,2020,3055.11,68254.9,0.044760302923306614
governance and administration,Law and Justice,20-21,2021,2200.0,81494.2,0.02699578620318992
governance and administration,Law and Justice,21-22,2022,2645.82,77450.87,0.03416126894378333
governance and administration,Law and Justice,22-23,2023,3393.48,87283.70999999999,0.03887873235452526
governance and administration,Law and Justice,23-24,2024,3975.43,94545.62,0.04204774372414079
governance and administration,Parliamentary Affairs,05-06,2006,5.9,4849.17,0.001216703064648177
governance and administration,Parliamentary Affairs,06-07,2007,6.0,5064.3,0.0011847639357857947
governance and administration,Parliamentary Affairs,07-08,2008,6.1,5823.700000000001,0.0010474440647698197
governance and administration,Parliamentary Affairs,09-10,2010,8.33,8884.45,0.000937593210609548
governance and administration,Parliamentary Affairs,10-11,2011,7.47,8025.030000000001,0.000930837641728442
governance and administration,Parliamentary Affairs,11-12,2012,10.48,9554.5,0.0010968653514050971
governance and administration,Parliamentary Affairs,12-13,2013,11.72,12349.48,0.000949027813316836
governance and administration,Parliamentary Affairs,13-14,2014,13.28,14822.970000000001,0.0008959068256901282
governance and administration,Parliamentary Affairs,15-16,2016,15.57,19136.36,0.0008136343588853889
governance and administration,Parliamentary Affairs,16-17,2017,17.3,21067.06,0.0008211871993529234
governance and administration,Parliamentary Affairs,17-18,2018,17.88,20831.13,0.0008583307770629821
governance and administration,Parliamentary Affairs,18-19,2019,18.86,66410.34,0.00028399192053526605
governance and administration,Parliamentary Affairs,19-20,2020,19.38,68254.9,0.0002839356588318201
governance and administration,Parliamentary Affairs,20-21,2021,50.52,81494.2,0.000619921417720525
governance and administration,Parliamentary Affairs,21-22,2022,65.07,77450.87,0.0008401455012706765
governance and administration,Parliamentary Affairs,22-23,2023,66.4,87283.70999999999,0.0007607375992610765
governance and administration,Parliamentary Affairs,23-24,2024,63.0,94545.62,0.0006663449877424253
governance and administration,"Personnel, Public Grievances and Pensions",05-06,2006,304.0,4849.17,0.06269114095814335
governance and administration,"Personnel, Public Grievances and Pensions",06-07,2007,345.3,5064.3,0.06818316450447248
governance and administration,"Personnel, Public Grievances and Pensions",07-08,2008,366.0,5823.700000000001,0.06284664388618919
governance and administration,"Personnel, Public Grievances and Pensions",09-10,2010,675.5,8884.45,0.0760317183393457
governance and administration,"Personnel, Public Grievances and Pensions",10-11,2011,706.36,8025.030000000001,0.08801960864943807
governance and administration,"Personnel, Public Grievances and Pensions",11-12,2012,766.78,9554.5,0.08025328379297712
governance and administration,"Personnel, Public Grievances and Pensions",12-13,2013,894.67,12349.48,0.0724459653361923
governance and administration,"Personnel, Public Grievances and Pensions",13-14,2014,1019.94,14822.970000000001,0.06880807287608354
governance and administration,"Personnel, Public Grievances and Pensions",15-16,2016,921.43,19136.36,0.048150745491828115
governance and administration,"Personnel, Public Grievances and Pensions",16-17,2017,1477.68,21067.06,0.07014172836646404
governance and administration,"Personnel, Public Grievances and Pensions",17-18,2018,1423.0,20831.13,0.06831122459511317
governance and administration,"Personnel, Public Grievances and Pensions",18-19,2019,46430.0,66410.34,0.6991381161427573
governance and administration,"Personnel, Public Grievances and Pensions",19-20,2020,48565.0,68254.9,0.7115240078001727
governance and administration,"Personnel, Public Grievances and Pensions",20-21,2021,61169.35,81494.2,0.7505975885400433
governance and administration,"Personnel, Public Grievances and Pensions",21-22,2022,55873.12,77450.87,0.7214008054396291
governance and administration,"Personnel, Public Grievances and Pensions",22-23,2023,65840.81,87283.70999999999,0.7543310200723595
governance and administration,"Personnel, Public Grievances and Pensions",23-24,2024,71701.0,94545.62,0.7583746343828514
infrastructure and transport,Civil Aviation,05-06,2006,633.5,17188.47,0.03685610179381876
infrastructure and transport,Civil Aviation,06-07,2007,448.6,6404.02,0.07004975000078076
infrastructure and transport,Civil Aviation,07-08,2008,617.56,7497.71,0.08236648256601015
infrastructure and transport,Civil Aviation,09-10,2010,887.0,27453.309999999998,0.03230940094290998
infrastructure and transport,Civil Aviation,10-11,2011,2885.0,34495.16,0.0836349215368185
infrastructure and transport,Civil Aviation,11-12,2012,2393.88,36931.34,0.06481974388148387
infrastructure and transport,Civil Aviation,12-13,2013,5238.8,45042.49,0.11630795721994944
infrastructure and transport,Civil Aviation,13-14,2014,5882.18,46900.83,0.1254173966644087
infrastructure and transport,Civil Aviation,15-16,2016,3341.5,60815.81,0.05494459417707336
infrastructure and transport,Civil Aviation,16-17,2017,2590.68,68566.28,0.03778358691765107
infrastructure and transport,Civil Aviation,17-18,2018,2702.0,103586.84,0.026084394504166747
infrastructure and transport,Civil Aviation,18-19,2019,6602.86,121249.12,0.05445697255369771
infrastructure and transport,Civil Aviation,19-20,2020,4500.0,137450.7,0.032739011150907195
infrastructure and transport,Civil Aviation,20-21,2021,3797.71,147460.83000000002,0.02575402566227248
infrastructure and transport,Civil Aviation,21-22,2022,3224.67,177609.02,0.01815600356333254
infrastructure and transport,Civil Aviation,22-23,2023,10667.0,288033.67,0.03703386482559487
infrastructure and transport,Civil Aviation,23-24,2024,3113.36,352198.41000000003,0.008839790049023787
infrastructure and transport,Road Transport and Highways,05-06,2006,12411.0,17188.47,0.7220537953639852
infrastructure and transport,Road Transport and Highways,06-07,2007,1512.49,6404.02,0.23617821305992173
infrastructure and transport,Road Transport and Highways,07-08,2008,1512.13,7497.71,0.2016789126279891
infrastructure and transport,Road Transport and Highways,09-10,2010,19565.0,27453.309999999998,0.7126645202345364
infrastructure and transport,Road Transport and Highways,10-11,2011,22184.9,34495.16,0.643130804437492
infrastructure and transport,Road Transport and Highways,11-12,2012,24190.0,36931.34,0.6549992499595195
infrastructure and transport,Road Transport and Highways,12-13,2013,28438.21,45042.49,0.6313640742330187
infrastructure and transport,Road Transport and Highways,13-14,2014,28942.23,46900.83,0.617094196414008
infrastructure and transport,Road Transport and Highways,15-16,2016,42841.65,60815.81,0.704449221345568
infrastructure and transport,Road Transport and Highways,16-17,2017,46983.0,68566.28,0.6852201986165795
infrastructure and transport,Road Transport and Highways,17-18,2018,64900.0,103586.84,0.626527462368772
infrastructure and transport,Road Transport and Highways,18-19,2019,71000.0,121249.12,0.5855712602285279
infrastructure and transport,Road Transport and Highways,19-20,2020,83015.97,137450.7,0.6039690594518616
infrastructure and transport,Road Transport and Highways,20-21,2021,91823.22,147460.83000000002,0.6226956677241
infrastructure and transport,Road Transport and Highways,21-22,2022,118101.0,177609.02,0.6649493364695104
infrastructure and transport,Road Transport and Highways,22-23,2023,199107.71,288033.67,0.691265399631925
infrastructure and transport,Road Transport and Highways,23-24,2024,270434.71,352198.41000000003,0.7678476174835656
infrastructure and transport,Shipping,05-06,2006,963.92,17188.47,0.05607945326140139
infrastructure and transport,Shipping,06-07,2007,1236.67,6404.02,0.1931083912917199
infrastructure and transport,Shipping,07-08,2008,1553.5,7497.71,0.2071965973610609
infrastructure and transport,Shipping,09-10,2010,1755.53,27453.309999999998,0.06394602326641123
infrastructure and transport,Shipping,10-11,2011,1935.89,34495.16,0.056120626777785634
infrastructure and transport,Shipping,11-12,2012,1806.0,36931.34,0.04890155623922664
infrastructure and transport,Shipping,12-13,2013,1679.49,45042.49,0.037286792981471494
infrastructure and transport,Shipping,13-14,2014,1712.67,46900.83,0.03651683776171978
infrastructure and transport,Shipping,15-16,2016,1439.79,60815.81,0.02367460040407256
infrastructure and transport,Shipping,16-17,2017,1531.0,68566.28,0.02232875985105215
infrastructure and transport,Shipping,17-18,2018,1773.0,103586.84,0.017116073817871075
infrastructure and transport,Shipping,18-19,2019,1881.13,121249.12,0.01551458682751677
infrastructure and transport,Shipping,19-20,2020,1902.56,137450.7,0.013841762901171109
infrastructure and transport,Shipping,20-21,2021,1800.0,147460.83000000002,0.01220663141527143
infrastructure and transport,Shipping,21-22,2022,1702.35,177609.02,0.009584817257591985
infrastructure and transport,Shipping,22-23,2023,1709.5,288033.67,0.005935070021501306
infrastructure and transport,Shipping,23-24,2024,2218.74,352198.41000000003,0.006299687724314257
infrastructure and transport,Urban Development,05-06,2006,3180.05,17188.47,0.18501064958079458
infrastructure and transport,Urban Development,06-07,2007,3206.26,6404.02,0.5006636456475776
infrastructure and transport,Urban Development,07-08,2008,3814.52,7497.71,0.5087580074449398
infrastructure and transport,Urban Development,09-10,2010,5245.78,27453.309999999998,0.1910800555561424
infrastructure and transport,Urban Development,10-11,2011,7489.37,34495.16,0.21711364724790375
infrastructure and transport,Urban Development,11-12,2012,8541.46,36931.34,0.23127944991977004
infrastructure and transport,Urban Development,12-13,2013,9685.99,45042.49,0.21504117556556043
infrastructure and transport,Urban Development,13-14,2014,10363.75,46900.83,0.22097156915986346
infrastructure and transport,Urban Development,15-16,2016,13192.87,60815.81,0.21693158407328622
infrastructure and transport,Urban Development,16-17,2017,17461.6,68566.28,0.2546674546147173
infrastructure and transport,Urban Development,17-18,2018,34211.84,103586.84,0.33027206930919023
infrastructure and transport,Urban Development,18-19,2019,41765.13,121249.12,0.3444571803902577
infrastructure and transport,Urban Development,19-20,2020,48032.17,137450.7,0.34945016649606
infrastructure and transport,Urban Development,20-21,2021,50039.9,147460.83000000002,0.33934367519835607
infrastructure and transport,Urban Development,21-22,2022,54581.0,177609.02,0.30730984270956513
infrastructure and transport,Urban Development,22-23,2023,76549.46,288033.67,0.2657656655209789
infrastructure and transport,Urban Development,23-24,2024,76431.6,352198.41000000003,0.21701290474309637
regional and development,Andaman & Nicobar Islands,05-06,2006,1675.59,3237.56,0.5175471651490628
regional and development,Andaman & Nicobar Islands,06-07,2007,1977.93,4474.14,0.44208048921133447
regional and development,Andaman & Nicobar Islands,07-08,2008,1854.83,4381.32,0.4233495841435914
regional and development,Andaman & Nicobar Islands,09-10,2010,2689.23,4429.92,0.6070606241196229
regional and development,Andaman & Nicobar Islands,10-11,2011,2064.31,4701.379999999999,0.4390859705022781
regional and development,Andaman & Nicobar Islands,11-12,2012,2608.74,5715.32,0.4564468831141563
regional and development,Andaman & Nicobar Islands,12-13,2013,2982.65,6393.98,0.46647784322128005
regional and development,Andaman & Nicobar Islands,13-14,2014,3192.7,7001.549999999999,0.455999028786483
regional and development,Andaman & Nicobar Islands,15-16,2016,3748.38,6443.86,0.5816979263981527
regional and development,Andaman & Nicobar Islands,16-17,2017,4072.02,5700.59,0.7143155357603336
regional and development,Andaman & Nicobar Islands,17-18,2018,4158.28,17499.37,0.23762455448396141
regional and development,Andaman & Nicobar Islands,18-19,2019,4523.86,19523.86,0.23170930338570342
regional and development,Andaman & Nicobar Islands,19-20,2020,4817.48,20871.4,0.23081729064653062
regional and development,Andaman & Nicobar Islands,20-21,2021,5164.26,23034.989999999998,0.224191979245487
regional and development,Andaman & Nicobar Islands,21-22,2022,5317.41,23025.15,0.23093921212239657
regional and development,Andaman & Nicobar Islands,22-23,2023,5703.65,25407.489999999998,0.22448695246952768
regional and development,Andaman & Nicobar Islands,23-24,2024,192.32,31008.079999999998,0.006202254380148658
regional and development,Development of North Eastern Region,05-06,2006,52.23,3237.56,0.0161325195517612
regional and development,Development of North Eastern Region,06-07,2007,62.79,4474.14,0.014033981949603721
regional and development,Development of North Eastern Region,07-08,2008,93.07,4381.32,0.02124245661124958
regional and development,Development of North Eastern Region,09-10,2010,101.47,4429.92,0.022905605518835553
regional and development,Development of North Eastern Region,10-11,2011,209.33,4701.379999999999,0.044525224508548567
regional and development,Development of North Eastern Region,11-12,2012,212.58,5715.32,0.03719476774703779
regional and development,Development of North Eastern Region,12-13,2013,229.33,6393.98,0.035866549473098135
regional and development,Development of North Eastern Region,13-14,2014,250.97,7001.549999999999,0.035844920053416746
regional and development,Development of North Eastern Region,15-16,2016,564.74,6443.86,0.08764001700843904
regional and development,Development of North Eastern Region,16-17,2017,830.01,5700.59,0.1456007185221179
regional and development,Development of North Eastern Region,17-18,2018,2682.45,17499.37,0.15328837552437602
regional and development,Development of North Eastern Region,18-19,2019,3000.0,19523.86,0.1536581393228593
regional and development,Development of North Eastern Region,19-20,2020,3000.0,20871.4,0.14373736309016164
regional and development,Development of North Eastern Region,20-21,2021,3048.73,23034.989999999998,0.13235213038946403
regional and development,Development of North Eastern Region,21-22,2022,2658.0,23025.15,0.11543898736816047
regional and development,Development of North Eastern Region,22-23,2023,2800.0,25407.489999999998,0.11020372339022864
regional and development,Development of North Eastern Region,23-24,2024,5892.0,31008.079999999998,0.19001498964140962
regional and development,Tribal Affairs,05-06,2006,1509.74,3237.56,0.46632031529917595
regional and development,Tribal Affairs,06-07,2007,2433.42,4474.14,0.5438855288390618
regional and development,Tribal Affairs,07-08,2008,2433.42,4381.32,0.5554079592451591
regional and development,Tribal Affairs,09-10,2010,1639.22,4429.92,0.3700337703615415
regional and development,Tribal Affairs,10-11,2011,2427.74,4701.379999999999,0.5163888049891734
regional and development,Tribal Affairs,11-12,2012,2894.0,5715.32,0.506358349138806
regional and development,Tribal Affairs,12-13,2013,3182.0,6393.98,0.49765560730562186
regional and development,Tribal Affairs,13-14,2014,3557.88,7001.549999999999,0.5081560511601003
regional and development,Tribal Affairs,15-16,2016,2130.74,6443.86,0.3306620565934083
regional and development,Tribal Affairs,16-17,2017,798.56,5700.59,0.14008374571754853
regional and development,Tribal Affairs,17-18,2018,10658.64,17499.37,0.6090870699916625
regional and development,Tribal Affairs,18-19,2019,12000.0,19523.86,0.6146325572914372
regional and development,Tribal Affairs,19-20,2020,13053.92,20871.4,0.6254453462633076
regional and development,Tribal Affairs,20-21,2021,14822.0,23034.989999999998,0.643455890365049
regional and development,Tribal Affairs,21-22,2022,15049.74,23025.15,0.6536218005094429
regional and development,Tribal Affairs,22-23,2023,16903.84,25407.489999999998,0.6653093241402438
regional and development,Tribal Affairs,23-24,2024,24923.76,31008.079999999998,0.8037827559784417
science and innovation,Biotechnology,05-06,2006,458.6,6799.6,0.06744514383199011
science and innovation,Biotechnology,06-07,2007,534.6,7640.6,0.06996832709473078
science and innovation,Biotechnology,07-08,2008,694.7,8230.3,0.08440761576127238
science and innovation,Biotechnology,09-10,2010,1024.0,10807.0,0.09475340057370223
science and innovation,Biotechnology,10-11,2011,1222.0,12357.0,0.09889131666262038
science and innovation,Biotechnology,11-12,2012,1426.92,14170.92,0.10069353295340035
science and innovation,Biotechnology,12-13,2013,1500.39,14572.61,0.10295959337414506
science and innovation,Biotechnology,13-14,2014,1502.06,15049.33,0.09980909449124978
science and innovation,Biotechnology,15-16,2016,1625.14,16880.03,0.09627589524426201
science and innovation,Biotechnology,16-17,2017,1820.0,17862.14,0.10189148668636569
science and innovation,Biotechnology,17-18,2018,2222.11,20579.09,0.10797902142417376
science and innovation,Biotechnology,18-19,2019,2411.53,23105.7,0.10436948458605452
science and innovation,Biotechnology,19-20,2020,2580.34,24335.5,0.1060319286638861
science and innovation,Biotechnology,20-21,2021,2786.76,27952.76,0.09969534314321736
science and innovation,Biotechnology,21-22,2022,3502.37,28743.120000000003,0.12185072462557996
science and innovation,Biotechnology,22-23,2023,2581.0,27917.46,0.09245110407608716
science and innovation,Biotechnology,23-24,2024,2683.86,28905.33,0.09285000378822868
science and innovation,Science and Technology,05-06,2006,1636.0,6799.6,0.2406023883757868
science and innovation,Science and Technology,06-07,2007,1746.0,7640.6,0.2285160851242049
science and innovation,Science and Technology,07-08,2008,1775.0,8230.3,0.21566650061358641
science and innovation,Science and Technology,09-10,2010,2133.0,10807.0,0.19737207365596374
science and innovation,Science and Technology,10-11,2011,2369.0,12357.0,0.1917131989965202
science and innovation,Science and Technology,11-12,2012,2733.0,14170.92,0.1928597437569332
science and innovation,Science and Technology,12-13,2013,2873.22,14572.61,0.19716577881381575
science and innovation,Science and Technology,13-14,2014,3184.27,15049.33,0.21158882156215592
science and innovation,Science and Technology,15-16,2016,3835.7,16880.03,0.22723300847214134
science and innovation,Science and Technology,16-17,2017,4470.2,17862.14,0.2502611669150505
science and innovation,Science and Technology,17-18,2018,4817.27,20579.09,0.23408566656737495
science and innovation,Science and Technology,18-19,2019,5114.78,23105.7,0.22136442522840682
science and innovation,Science and Technology,19-20,2020,5321.01,24335.5,0.21865217480635288
science and innovation,Science and Technology,20-21,2021,6301.53,27952.76,0.22543498387994604
science and innovation,Science and Technology,21-22,2022,6067.39,28743.120000000003,0.21109016696865196
science and innovation,Science and Technology,22-23,2023,6000.0,27917.46,0.21491926557788568
science and innovation,Science and Technology,23-24,2024,7931.05,28905.33,0.27438019216525117
science and innovation,Scientific and Industrial Research,05-06,2006,1557.0,6799.6,0.22898405788575799
science and innovation,Scientific and Industrial Research,06-07,2007,1750.0,7640.6,0.2290396042195639
science and innovation,Scientific and Industrial Research,07-08,2008,1902.0,8230.3,0.23109728685467118
science and innovation,Scientific and Industrial Research,09-10,2010,2691.0,10807.0,0.24900527435921163
science and innovation,Scientific and Industrial Research,10-11,2011,2988.0,12357.0,0.24180626365622723
science and innovation,Scientific and Industrial Research,11-12,2012,3385.0,14170.92,0.23886945942818108
science and innovation,Scientific and Industrial Research,12-13,2013,3484.0,14572.61,0.23907865509335663
science and innovation,Scientific and Industrial Research,13-14,2014,3571.0,15049.33,0.2372863110849453
science and innovation,Scientific and Industrial Research,15-16,2016,4031.0,16880.03,0.2388028931228203
science and innovation,Scientific and Industrial Research,16-17,2017,4062.8,17862.14,0.22745314951064097
science and innovation,Scientific and Industrial Research,17-18,2018,4446.0,20579.09,0.21604453841253426
science and innovation,Scientific and Industrial Research,18-19,2019,4795.97,23105.7,0.20756653120225746
science and innovation,Scientific and Industrial Research,19-20,2020,4895.89,24335.5,0.20118304534527748
science and innovation,Scientific and Industrial Research,20-21,2021,5385.0,27952.76,0.19264645065460442
science and innovation,Scientific and Industrial Research,21-22,2022,5224.27,28743.120000000003,0.181757234426882
science and innovation,Scientific and Industrial Research,22-23,2023,5636.46,27917.46,0.20189730727652158
science and innovation,Scientific and Industrial Research,23-24,2024,5746.51,28905.33,0.19880451114033293
science and innovation,Space,05-06,2006,3148.0,6799.6,0.46296840990646504
science and innovation,Space,06-07,2007,3610.0,7640.6,0.4724759835615004
science and innovation,Space,07-08,2008,3858.6,8230.3,0.4688285967704701
science and innovation,Space,09-10,2010,4959.0,10807.0,0.45886925141112245
science and innovation,Space,10-11,2011,5778.0,12357.0,0.4675892206846322
science and innovation,Space,11-12,2012,6626.0,14170.92,0.46757726386148535
science and innovation,Space,12-13,2013,6715.0,14572.61,0.4607959727186825
science and innovation,Space,13-14,2014,6792.0,15049.33,0.451315772861649
science and innovation,Space,15-16,2016,7388.19,16880.03,0.4376882031607764
science and innovation,Space,16-17,2017,7509.14,17862.14,0.4203941968879429
science and innovation,Space,17-18,2018,9093.71,20579.09,0.441890773595917
science and innovation,Space,18-19,2019,10783.42,23105.7,0.4666995589832812
science and innovation,Space,19-20,2020,11538.26,24335.5,0.47413285118448356
science and innovation,Space,20-21,2021,13479.47,27952.76,0.48222322232223225
science and innovation,Space,21-22,2022,13949.09,28743.120000000003,0.485301873978886
science and innovation,Space,22-23,2023,13700.0,27917.46,0.49073232306950565
science and innovation,Space,23-24,2024,12543.91,28905.33,0.4339652929061872
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",05-06,2006,405.98,28608.45,0.014190912125613237
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",06-07,2007,447.89,48197.7,0.009292767082246663
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",07-08,2008,563.88,60391.79,0.0093370307454043
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",09-10,2010,922.0,86266.54000000001,0.010687805492140984
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",10-11,2011,964.0,99508.37,0.00968762728200653
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",11-12,2012,1088.0,110655.0,0.009832361845375266
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",12-13,2013,1178.0,135191.11,0.00871359070873817
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",13-14,2014,1259.0,145720.07,0.008639853110144676
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",15-16,2016,896.0,53316.64,0.016805260046394523
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",16-17,2017,926.2,70287.81,0.013177249369414128
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",17-18,2018,1428.65,159412.99,0.008961942185514493
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",18-19,2019,1626.37,181379.93,0.008966648074017891
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",19-20,2020,1739.76,204242.16,0.008518123780124535
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",20-21,2021,2122.08,215154.24,0.009863063818774847
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",21-22,2022,2970.3,209816.52000000002,0.014156654585635106
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",22-23,2023,3050.0,234637.34,0.012998783569571664
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",23-24,2024,3647.5,252239.36000000002,0.014460471196882199
social and services,Elementary Education and Literacy,05-06,2006,12536.53,28608.45,0.438210738435672
social and services,Elementary Education and Literacy,06-07,2007,17132.71,48197.7,0.35546737707400977
social and services,Elementary Education and Literacy,07-08,2008,23142.22,60391.79,0.38320142522683964
social and services,Elementary Education and Literacy,09-10,2010,29099.21,86266.54000000001,0.33731745819410397
social and services,Elementary Education and Literacy,10-11,2011,33214.0,99508.37,0.33378096736988055
social and services,Elementary Education and Literacy,11-12,2012,41451.0,110655.0,0.3745967195336858
social and services,Elementary Education and Literacy,12-13,2013,48781.0,135191.11,0.3608299391875694
social and services,Elementary Education and Literacy,13-14,2014,52701.0,145720.07,0.3616591729608694
social and services,Elementary Education and Literacy,15-16,2016,6153.0,53316.64,0.11540487172484988
social and services,Elementary Education and Literacy,16-17,2017,8466.5,70287.81,0.12045474172548555
social and services,Elementary Education and Literacy,17-18,2018,46356.25,159412.99,0.2907934290674807
social and services,Elementary Education and Literacy,18-19,2019,50000.0,181379.93,0.27566445747332685
social and services,Elementary Education and Literacy,19-20,2020,56386.63,204242.16,0.2760773289902535
social and services,Elementary Education and Literacy,20-21,2021,59845.0,215154.24,0.27814929419936135
social and services,Elementary Education and Literacy,21-22,2022,54873.66,209816.52000000002,0.26153164679311236
social and services,Elementary Education and Literacy,22-23,2023,63449.37,234637.34,0.27041463221497486
social and services,Elementary Education and Literacy,23-24,2024,68804.85,252239.36000000002,0.27277602512153537
social and services,Health,05-06,2006,3827.64,28608.45,0.13379403637736403
social and services,Health,06-07,2007,12545.88,48197.7,0.26030038777784004
social and services,Health,07-08,2008,15291.0,60391.79,0.253196667957681
social and services,Health,09-10,2010,21113.33,86266.54000000001,0.24474529753946314
social and services,Health,10-11,2011,23530.0,99508.37,0.23646252069047058
social and services,Health,11-12,2012,26897.0,110655.0,0.2430708056572229
social and services,Health,12-13,2013,30702.0,135191.11,0.22710073169752068
social and services,Health,13-14,2014,33278.0,145720.07,0.22836936600428479
social and services,Health,15-16,2016,11358.0,53316.64,0.21302917813275554
social and services,Health,16-17,2017,16371.08,70287.81,0.2329149250773356
social and services,Health,17-18,2018,47352.51,159412.99,0.29704298250725997
social and services,Health,18-19,2019,52800.0,181379.93,0.29110166709183316
social and services,Health,19-20,2020,61398.12,204242.16,0.30061432957818307
social and services,Health,20-21,2021,65011.8,215154.24,0.30216369428740986
social and services,Health,21-22,2022,71268.77,209816.52000000002,0.3396718714045967
social and services,Health,22-23,2023,83000.0,234637.34,0.353737388942442
social and services,Health,23-24,2024,86175.0,252239.36000000002,0.34163978214978025
social and services,Secondary Education and Higher Education,05-06,2006,5800.5,28608.45,0.20275478049317597
social and services,Secondary Education and Higher Education,06-07,2007,6982.28,48197.7,0.14486749367708418
social and services,Secondary Education and Higher Education,07-08,2008,9209.5,60391.79,0.1524958938955113
social and services,Secondary Education and Higher Education,09-10,2010,15429.0,86266.54000000001,0.17885265828442867
social and services,Secondary Education and Higher Education,10-11,2011,16690.0,99508.37,0.1677245843741587
social and services,Secondary Education and Higher Education,11-12,2012,21912.0,110655.0,0.19802087569472684
social and services,Secondary Education and Higher Education,12-13,2013,25275.0,135191.11,0.18695755956142385
social and services,Secondary Education and Higher Education,13-14,2014,26750.0,145720.07,0.18357114431800642
social and services,Secondary Education and Higher Education,15-16,2016,25700.26,53316.64,0.4820307506249456
social and services,Secondary Education and Higher Education,16-17,2017,27585.0,70287.81,0.39245781025187726
social and services,Secondary Education and Higher Education,17-18,2018,33329.7,159412.99,0.20907769184932795
social and services,Secondary Education and Higher Education,18-19,2019,35010.29,181379.93,0.19302185197667682
social and services,Secondary Education and Higher Education,19-20,2020,37461.01,204242.16,0.18341467794896021
social and services,Secondary Education and Higher Education,20-21,2021,39466.52,215154.24,0.18343361488019014
social and services,Secondary Education and Higher Education,21-22,2022,38350.65,209816.52000000002,0.18278184196363564
